"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize"
"NoError, EmulTrap, EmulPriv, Examine";"Battle Storm ? Titus.";"TITUS";"whdload";"0";"Battle Storm ECS/CDTV ";"Battlestorm";"802177";"Battlestorm\Battlestorm.Slave";"786432";"Battlestorm";"524288"
"NoError, EmulTrap, EmulPriv, Examine";"Battle Storm ? Titus.";"TITUS";"whdload";"0";"Battle Storm ECS/CDTV ";"BattlestormCDTV";"809533";"BattlestormCDTV\BattlestormCDTV.Slave";"786432";"BattlestormCDTV";"524288"
"NoError, ClearMem";"DinoWars ?1991 DigiTek";"1991 DigiTek";"whdload";"0";"DinoWars";"DinoWars";"1865497";"DinoWars\DinoWars.slave";"4096";"DinoWars";"524288"
"NoError, ClearMem";"DinoWars ?1991 DigiTek";"1991 DigiTek";"whdload";"0";"DinoWars";"DinoWarsDe";"1865499";"DinoWarsDe\DinoWarsDe.Slave";"4096";"DinoWarsDe";"524288"
"NoError, EmulPriv, Examine";"the Emerald Mines CD (c) 1994 Kingsoft/Almathera.";"1994 Almathera";"whdload";"0";"Emerald Mines CD";"EmeraldMinesCD";"54717765";"EmeraldMinesCD\emeraldminecd.slave";"262144";"EmeraldMinesCD";"1015808"
"NoError, EmulTrap, ClearMem";"Fast Lane ? 1989 Artronic.";"1989 Artronic";"whdload";"0";"Fast Lane";"FastLane";"710438";"FastLane\FastLane.Slave";"0";"FastLane";"524288"
"NoError, EmulPriv, Examine";"Flip Flop (c) 1987 Kingsoft - 1 disk.";"1987 Kingsoft";"whdload";"0";"Flip Flop";"FlipFlop";"36669";"FlipFlop\FlipFlop.Slave";"393216";"FlipFlop";"262144"
"NoError, NoDivZero, EmulPriv, ClearMem, Examine";"Football Glory ? 1994 Black Legend";"1994 Black Legend";"whdload";"0";"Football Glory (ECS)";"FussballTotalDe";"1202196";"FussballTotalDe\FussballTotalDe.Slave";"786432";"FussballTotalDe";"540672"
"NoError, ClearMem";"Hired Guns ? 1993 Psygnosis";"1993 Psygnosis";"whdload";"0";"Hired Guns";"HiredGuns1MB";"3443247";"HiredGuns1MB\HiredGuns1MB.Slave";"704512";"HiredGuns1MB";"1024000"
"NoError, ClearMem";"Hired Guns ? 1993 Psygnosis";"1993 Psygnosis";"whdload";"0";"Hired Guns";"HiredGuns512KB";"3443197";"HiredGuns512KB\HiredGuns512KB.Slave";"528384";"HiredGuns512KB";"524288"
